Word  Worst  Mean
raise   168  17.66
arise   168  18.97
aesir   168  20.12
reais   168  20.48
serai   168  21.23
aiery   171  21.43
ayrie   171  23.86
raile   173  18.22
ariel   173  18.66
aloes   174  21.63
realo   176  20.85
stoae   177  21.23
alone   182  18.81
anole   182  19.45
soare   183  18.37
arose   183  19.28
aeros   183  21.43
oiler   186  21.23
oriel   186  21.23
reoil   186  21.43
uraei   187  26.30
oaten   191  19.12
atone   191  20.66
coate   192  18.97
ratio   192  19.28
retia   194  18.66
irate   194  18.81
telia   194  19.61
terai   194  20.66
raine   195  18.08
oater   195  18.22
orate   195  18.37
roate   195  18.51
aeons   195  23.14
later   196  17.40
ratel   196  17.40
taler   196  17.40
alert   196  17.80
alter   196  18.22
artel   196  18.22
aisle   196  19.45
alure   197  19.45
ureal   197  22.04
teary   198  18.37
ourie   198  22.69
osier   198  23.14
tyler   200  23.37
urate   202  19.12
aures   202  20.66
urase   202  20.85
ursae   202  22.47
ureas   202  23.86
toile   204  18.97
teloi   204  23.86
laten   205  17.01
seral   205  18.22
laser   205  18.97
ceria   205  19.78
lares   205  19.78
lears   205  19.95
potae   205  19.95
rales   205  19.95
reals   205  20.12
erica   205  20.66
earls   205  21.04
laers   205  21.23
arles   205  21.63
areic   205  22.91
slier   206  18.37
siler   206  18.97
riles   206  20.12
lutea   206  20.66
riels   206  21.23
leirs   206  21.83
liers   206  21.83
saine   207  17.14
anise   207  18.22
paseo   207  20.30
laris   207  21.04
liras   207  22.04
arils   207  22.47
isnae   207  23.14
leant   208  17.66
larnt   208  21.23
aurei   208  24.88
tiler   209  17.80
relit   209  18.37
litre   209  18.51
liter   209  18.81
riley   209  20.12
resay   209  20.85
haole   209  21.23
sayer   209  21.23
arsey   209  21.83
solei   209  22.25
ayres   209  23.86
years   209  24.88
urali   210  25.15
saice   211  18.81
learn   212  17.80
renal   212  18.08
neral   212  19.12
rails   212  21.04
rials   212  21.23
lairs   212  22.25
liars   212  22.69
ocrea   213  21.43
atoke   214  25.15
paire   215  17.53
leary   215  18.51
relay   215  18.66
sorel   215  18.66
early   215  19.45
layer   215  19.95
soler   215  19.95
loser   215  20.30
lores   215  20.48
roles   215  21.04
rayle   215  21.23
eorls   215  22.47
perai   215  22.69
urena   215  23.14
orles   215  24.10
eyras   215  24.88
canoe   216  18.97
toise   216  19.12
renay   216  19.78
yearn   216  21.63
rayne   216  21.63
olpae   216  22.04
urial   216  22.04
psoae   216  22.91
yates   216  25.71
tinea   217  18.97
tenia   217  19.45
maire   218  18.66
salue   218  19.61
ramie   218  20.30
aimer   218  21.23
rimae   218  21.23
snare   219  17.66
saner   219  17.66
trail   219  18.08
trial   219  18.66
liart   219  19.12
reans   219  20.48
irone   219  20.66
nares   219  21.23
nears   219  21.63
earns   219  21.83
toeas   219  22.47
alien   220  17.27
aline   220  17.66
anile   220  18.08
liane   220  18.08
togae   220  21.43
salet   221  15.74
slate   221  15.85
stale   221  16.41
least   221  16.65
setal   221  18.08
teals   221  18.37
deair   221  18.66
leats   221  18.66
aired   221  19.12
aider   221  19.28
tales   221  19.45
irade   221  19.61
tesla   221  19.61
loner   221  19.78
redia   221  20.12
nerol   221  20.30
enrol   221  21.23
aunes   221  22.91
saute   223  18.08
aides   223  22.91
aside   223  23.14
usnea   223  26.91
tolar   224  18.22
rotal   224  18.37
pareo   224  18.81
porae   224  19.12
stole   224  19.61
lotes   224  20.85
toles   224  21.04
telos   224  21.43
opera   224  22.69
slane   225  17.53
haler   225  19.28
aloed   225  20.48
lanes   225  20.48
leans   225  21.04
neals   225  21.63
ulnae   225  21.83
antre   226  17.40
earnt   226  17.94
liner   226  19.12
radio   226  20.30
amole   226  20.85
reast   227  15.85
earst   227  16.41
resat   227  17.14
taser   227  17.40
stare   227  17.53
tares   227  18.22
tears   227  18.22
teras   227  18.37
strae   227  18.66
stear   227  18.81
loran   227  19.12
arets   227  19.28
rates   227  19.78
aster   227  20.85
sayne   227  21.63
erbia   227  22.04
larns   227  24.10
aruhe   228  25.15
luter   229  19.78
maise   229  19.95
amies   229  22.69
morae   230  18.97
hayer   230  22.25
losen   231  19.12
locie   231  21.23
acute   231  22.25
noles   231  22.25
ideas   231  29.29
solar   232  19.78
soral   232  19.78
paeon   232  21.43
orals   232  22.91
oaker   232  27.88
lacet   233  18.51
soyle   233  22.47
ariot   234  18.22
abies   234  26.30
paise   235  18.22
roule   235  20.30
sieur   235  20.30
loure   235  20.66
lento   235  21.43
aspie   235  22.69
carse   237  16.77
snore   237  17.94
scare   237  18.51
cares   237  18.51
seron   237  18.51
senor   237  19.12
rones   237  19.28
scrae   237  19.28
serac   237  19.61
noser   237  20.12
renos   237  20.48
races   237  20.85
acers   237  21.04
acres   237  21.63
sepia   237  22.25
escar   237  22.47
oners   237  22.91
slyer   237  23.14
aegis   237  23.86
lyres   237  25.43
share   238  17.94
steal   238  18.66
shear   238  19.28
stela   238  19.61
taels   238  19.61
hears   238  19.95
hares   238  20.12
feria   238  21.04
pieta   238  21.43
rheas   238  21.83
afire   238  22.25
loris   238  22.25
roils   238  22.69
loirs   238  22.91
alowe   238  25.43
stane   239  18.08
stean   239  20.12
antes   239  21.23
nates   239  22.04
neats   239  22.04
ocean   239  22.25
lenos   239  22.69
ileac   239  24.88
oaken   239  28.22
snarl   240  21.23
yrent   240  23.86
shale   241  17.53
halse   241  17.80
hales   241  21.83
afore   241  23.61
nairu   241  28.93
oread   242  19.45
adore   242  20.30
anode   242  20.48
oared   242  20.66
lyase   242  21.43
royne   242  22.47
hoaed   242  23.14
louie   242  23.14
yales   242  23.86
toyer   243  21.43
slart   244  17.66
siren   244  18.08
rinse   244  18.08
serin   244  18.22
risen   244  18.66
resin   244  18.97
rines   244  19.95
reins   244  21.23
lairy   244  21.63
soave   244  24.10
oaves   244  26.91
thale   245  17.40
sarin   245  18.97
triol   245  19.95
lathe   245  20.12
lirot   245  20.12
ranis   245  20.48
rains   245  21.23
airns   245  22.25
naris   245  22.47
trace   246  15.53
crate   246  15.74
carte   246  15.96
caret   246  16.07
react   246  16.65
cater   246  16.77
torse   246  17.01
roset   246  18.22
store   246  18.66
tores   246  19.12
rotes   246  19.61
recta   246  19.78
clote   246  20.48
resto   246  20.48
estro   246  23.14
reist   247  16.53
resit   247  18.22
stire   247  18.37
tries   247  18.51
tires   247  19.28
sauce   247  19.45
close   247  19.78
tiers   247  19.78
rites   247  20.12
socle   247  20.12
cause   247  20.85
coles   247  21.04
olent   247  21.23
hilar   247  21.43
cameo   247  21.83
yores   247  26.00
caste   248  18.51
leash   248  19.12
selah   248  19.45
rouse   248  19.78
cates   248  20.48
heals   248  20.66
cesta   248  21.63
roues   248  22.25
taces   248  22.69
beano   248  23.14
auris   248  23.86
carle   249  16.18
clear   249  17.01
lacer   249  17.66
recal   249  18.51
urite   249  19.61
moire   249  19.95
lures   249  20.66
luser   249  20.66
rules   249  21.23
resty   249  22.25
agone   249  22.47
tyres   249  24.10
styre   249  24.62
uteri   249  25.71
maile   250  18.66
argue   250  19.61
rugae   250  19.95
auger   250  21.23
telco   250  22.04
pareu   250  23.61
relic   250  24.62
uraos   250  24.88
taupe   251  20.66
syren   251  22.69
tyers   251  24.10
kiore   251  24.88
treys   251  25.43
pilae   252  19.12
pilea   252  19.61
moile   252  20.12
abore   252  21.43
riyal   252  21.43
elans   252  21.83
volae   252  21.83
loave   252  22.47
iotas   252  24.88
ovate   252  25.43
stoai   252  26.60
rahui   252  30.45
ailed   253  18.37
loipe   253  21.23
ideal   253  23.37
herls   253  23.37
helio   253  23.86
coati   253  24.10
lehrs   253  26.00
oases   253  30.05
entia   254  20.12
haute   254  20.30
ousel   254  23.14
rueda   254  23.37
kaies   254  27.22
azole   254  30.85
palet   255  17.53
plate   255  17.80
scale   255  17.80
corse   255  17.80
tepal   255  17.94
petal   255  18.22
leapt   255  18.51
cores   255  18.81
score   255  19.45
claes   255  19.45
pelta   255  19.45
ceros   255  19.61
outre   255  19.61
outer   255  19.78
route   255  19.78
lepta   255  19.78
waite   255  20.85
laces   255  21.04
ultra   255  23.61
aweto   255  23.86
tawie   255  24.10
rotan   256  17.80
toran   256  18.08
orant   256  18.81
ceorl   256  19.12
seton   256  19.12
trona   256  19.28
crise   256  19.45
cires   256  19.61
onset   256  19.95
stern   256  19.95
stone   256  19.95
cries   256  20.12
urine   256  20.66
noise   256  20.66
tones   256  20.85
cosie   256  21.04
louse   256  21.23
rices   256  21.23
terns   256  21.23
erics   256  21.83
seric   256  21.83
rents   256  22.04
genoa   256  22.25
inure   256  22.47
notes   256  22.47
nerts   256  22.69
tirls   256  22.91
etnas   256  24.36
icers   256  24.36
dealt   257  17.27
hanse   257  19.12
minae   257  19.61
lated   257  19.78
sared   257  19.78
arsed   257  20.30
amine   257  20.66
dears   257  20.66
rased   257  20.66
reads   257  20.85
delta   257  21.04
anime   257  21.23
canes   257  21.23
entry   257  22.04
dares   257  22.04
yeast   257  22.47
hayle   257  22.91
eards   257  23.14
rotls   257  23.61
acnes   257  23.86
ashen   257  25.43
elain   258  19.12
lunar   258  22.91
ulnar   258  23.86
urnal   258  24.36
oyers   258  27.22
toaze   258  29.67
azote   258  32.14
hause   259  20.85
horal   259  21.04
lyart   259  22.47
hoyle   259  25.15
cloye   259  25.43
sonar   260  19.12
arson   260  19.95
thole   260  20.30
hotel   260  20.66
royal   260  21.04
comae   260  21.43
roans   260  21.83
heart   261  16.53
thrae   261  17.01
earth   261  17.53
trone   261  18.08
hater   261  18.22
toner   261  18.22
ronte   261  18.66
tenor   261  19.45
noter   261  19.78
rathe   261  19.95
coste   261  20.30
coset   261  20.48
sural   261  21.04
patio   261  21.43
cotes   261  21.83
hosel   261  21.83
holes   261  22.47
onery   261  22.69
agues   261  27.22
stair   262  19.12
sitar   262  19.28
sarge   262  19.78
raits   262  20.12
segar   262  20.12
sager   262  20.30
tiars   262  20.30
stria   262  20.48
tarsi   262  20.48
artis   262  20.66
gares   262  20.85
rages   262  20.85
airts   262  21.04
astir   262  21.63
gears   262  21.63
agers   262  23.61
mahoe   262  25.71
zaire   262  26.91
crane   263  16.41
pleat   263  17.53
caner   263  17.53
rance   263  17.94
crena   263  18.81
nacre   263  18.97
curie   263  19.28
touse   263  19.28
sated   263  19.95
tased   263  20.12
stade   263  20.48
teads   263  20.48
agile   263  20.66
tsade   263  20.85
aglet   263  21.04
ricey   263  21.63
stead   263  21.83
dates   263  22.25
ureic   263  26.00
train   264  17.01
cleat   264  17.40
riant   264  18.66
metal   264  19.45
vaire   264  19.78
matey   264  21.04
certy   264  21.23
aiver   264  21.83
poake   264  22.91
intra   264  23.14
cauri   264  25.15
pearl   265  17.40
paler   265  17.66
parle   265  17.80
lepra   265  20.30
repla   265  20.66
olein   265  22.47
tuyer   265  23.14
apode   265  23.37
paedo   265  23.86
airer   265  24.88
aerie   265  26.00
oleic   265  26.00
roast   266  17.40
diane   266  17.94
daine   266  18.08
taros   266  18.97
sorta   266  19.28
toras   266  19.78
miler   266  19.95
ratos   266  20.30
meril   266  20.48
rotas   266  20.48
crias   266  21.43
pelau   266  24.36
paoli   266  26.30
rouen   267  19.95
cadie   267  20.12
taube   267  21.04
tubae   267  21.63
arish   267  22.25
hairs   267  23.14
peart   268  16.07
prate   268  17.14
trape   268  17.40
apert   268  17.80
petar   268  17.80
pater   268  17.94
taper   268  18.37
sonce   268  18.37
paten   268  18.81
apter   268  19.12
tapen   268  19.95
scone   268  20.30
feuar   268  21.83
euros   268  22.69
laevo   268  25.15
lehua   268  28.57
trade   269  17.14
derat   269  17.27
tread   269  17.40
tared   269  17.66
dater   269  18.08
rated   269  18.37
tuile   269  18.66
utile   269  21.04
bosie   269  21.83
ulyie   269  26.60
yeans   269  26.60
parse   270  15.96
prase   270  16.89
trine   270  16.89
spare   270  17.40
large   270  18.51
glare   270  18.51
argle   270  18.51
marle   270  18.51
marse   270  18.51
lager   270  18.66
spaer   270  18.66
stile   270  18.66
arled   270  18.81
spear   270  18.97
alder   270  18.97
pares   270  18.97
lader   270  19.12
nitre   270  19.12
presa   270  19.12
regal   270  19.28
pears   270  19.28
realm   270  19.45
maerl   270  19.61
smear   270  19.78
inert   270  19.95
lamer   270  19.95
steil   270  19.95
maser   270  20.12
niter   270  20.12
tiles   270  20.30
mares   270  20.48
teils   270  20.48
lites   270  20.85
reaps   270  20.85
inter   270  21.04
alecs   270  21.04
reams   270  21.04
apres   270  21.23
oiled   270  21.23
oldie   270  21.23
islet   270  21.43
apers   270  21.43
helot   270  21.43
rapes   270  21.43
asper   270  21.63
istle   270  22.04
riads   270  22.25
raids   270  22.47
daris   270  22.69
motel   271  19.61
inlet   271  19.95
intel   271  19.95
goier   271  20.12
lacey   271  20.12
hoise   271  21.04
amice   271  21.63
latke   271  21.83
alike   271  22.04
lenti   271  23.14
lycea   271  24.36
alkie   271  24.62
thane   272  17.80
paren   272  18.08
slade   272  19.12
saned   272  19.28
arpen   272  19.61
deals   272  20.12
sedan   272  20.48
dales   272  20.66
neath   272  20.66
snead   272  20.66
lased   272  21.43
aygre   272  21.63
deans   272  21.63
gayer   272  21.83
leads   272  21.83
lades   272  22.47
yager   272  23.61
helos   272  24.10
nirls   272  26.00
oaked   272  32.59
lance   273  18.08
clean   273  18.51
shire   273  18.66
drail   273  18.66
shier   273  18.97
pause   273  19.78
manet   273  19.78
meant   273  19.95
ancle   273  19.95
laird   273  20.30
liard   273  20.30
lidar   273  20.48
metol   273  20.48
rhies   273  20.48
hires   273  20.66
menta   273  21.23
ament   273  21.43
logie   273  21.43
heirs   273  21.83
otary   273  21.83
yarto   273  22.47
walie   273  22.91
harls   273  24.36
sehri   273  25.43
usage   273  27.22
yites   273  27.55
silen   274  18.81
starn   274  20.12
payer   274  20.48
tarns   274  20.48
repay   274  20.66
apery   274  20.66
trans   274  20.66
lines   274  22.04
lenis   274  22.47
liens   274  22.47
nelis   274  22.47
scena   274  22.47
rants   274  22.91
novae   274  23.61
ryals   274  24.62
aryls   274  25.43
mater   275  18.22
tamer   275  18.37
armet   275  18.37
trema   275  18.81
ramet   275  18.97
eliad   275  19.28
anted   275  19.61
sceat   275  19.95
ceiba   275  23.61
abuse   275  24.10
beaus   275  24.10
yenta   275  24.10
miaou   275  29.67
ajies   275  36.16
targe   276  18.51
great   276  18.66
grate   276  18.66
ramen   276  19.12
lunet   276  19.45
reman   276  19.45
gater   276  19.61
terga   276  19.61
nurse   276  19.78
runes   276  20.30
ahent   276  20.48
unlet   276  20.48
recto   276  20.85
enarm   276  21.04
namer   276  21.04
rainy   276  21.23
noule   276  22.47
retag   276  22.69
noels   276  24.10
yages   276  27.22
trice   277  17.27
plier   277  18.08
citer   277  18.37
piler   277  18.37
crest   277  18.81
poise   277  19.12
pilar   277  19.28
peril   277  19.45
recit   277  19.61
cadet   277  19.95
leany   277  20.12
prial   277  20.12
certs   277  20.66
acted   277  21.83
amuse   277  22.25
style   277  23.61
recti   277  24.10
lytes   277  25.71
bohea   277  27.55
blate   278  17.66
table   278  18.08
clart   278  18.22
tonal   278  18.97
talon   278  19.78
baser   278  19.78
tolan   278  19.78
morel   278  19.95
sabre   278  19.95
bares   278  20.12
bears   278  20.30
braes   278  20.30
saber   278  20.30
ablet   278  20.48
notal   278  20.48
cones   278  20.66
reamy   278  21.23
geats   278  21.43
stage   278  22.04
gates   278  23.61
sayed   278  23.61
getas   278  24.10
abers   278  24.36
onces   278  25.15
auric   278  25.71
yelts   278  25.71
yeads   278  27.88
zonae   278  31.27
seiza   278  31.70
horse   279  17.66
coral   279  18.22
carol   279  18.66
shoer   279  18.97
shore   279  19.28
claro   279  19.28
hoser   279  19.78
shero   279  20.48
carls   279  20.66
heros   279  21.04
hoers   279  21.04
gales   279  21.43
geals   279  21.63
rohes   279  23.14
taker   279  23.37
avise   279  23.86
riled   280  17.80
clone   280  18.97
tuner   280  19.12
urent   280  20.12
samen   280  20.30
manse   280  21.04
cased   280  22.04
mensa   280  22.25
idler   280  23.37
manes   280  23.37
means   280  23.37
cades   280  23.61
daces   280  24.88
names   280  24.88
nemas   280  25.71
axone   280  28.57
aiyee   280  35.60
deray   281  19.12
deary   281  19.61
opine   281  21.04
solde   281  21.04
soled   281  21.04
rayed   281  21.43
ready   281  21.63
doles   281  21.83
lodes   281  22.47
losed   281  22.47
yeard   281  22.47
delos   281  23.37
heast   282  17.66
haste   282  18.66
heats   282  19.78
toled   282  20.30
faine   282  20.66
hates   282  21.43
merls   282  23.14
ashet   282  24.36
lards   282  24.88
dearn   283  17.27
denar   283  17.53
redan   283  17.94
miser   283  20.12
arnut   283  20.66
meris   283  21.04
mires   283  21.04
riems   283  22.47
rimes   283  22.91
emirs   283  23.37
tyran   283  23.37
ketol   283  26.60
obeli   283  31.27
spane   284  18.66
liger   284  19.45
spean   284  19.95
mesal   284  20.12
poler   284  20.12
boite   284  20.30
prole   284  20.30
loper   284  20.48
meals   284  20.66
peans   284  20.66
samel   284  20.66
sneap   284  21.04
males   284  21.63
melas   284  21.63
leams   284  21.83
arcos   284  22.04
acros   284  22.25
armil   284  22.25
panes   284  22.25
aspen   284  22.69
almes   284  23.14
orcas   284  23.14
lames   284  23.37
napes   284  24.36
neaps   284  24.62
oscar   284  24.62
mauri   284  27.22
adieu   284  29.29
spale   285  17.40
lapse   285  17.80
sepal   285  18.37
salep   285  18.51
peals   285  18.97
speal   285  19.28
pelas   285  19.78
pleas   285  19.95
eclat   285  20.12
fetal   285  20.12
pales   285  20.30
beaut   285  21.23
leaps   285  21.63
roily   285  22.25
cages   285  25.15
lynes   285  26.00
plane   286  17.66
crone   286  17.80
panel   286  18.66
loast   286  19.12
sture   286  19.12
penal   286  19.61
satem   286  19.61
trues   286  19.61
altos   286  19.95
salto   286  20.12
tolas   286  20.12
plena   286  20.30
meats   286  20.48
recon   286  20.48
shade   286  20.66
rayon   286  21.43
lotas   286  21.43
teams   286  21.43
deash   286  21.83
lotsa   286  21.83
cirls   286  22.04
tames   286  22.04
mates   286  22.25
oncer   286  22.25
heads   286  22.47
henry   286  22.69
sadhe   286  23.14
telic   286  23.14
tegua   286  23.37
rauns   286  24.36
hades   286  24.88
rhyne   286  26.60
yrneh   286  26.91
ashed   286  27.88
taber   287  18.08
farse   287  19.45
blert   287  19.78
heron   287  19.95
enact   287  19.95
beray   287  19.95
honer   287  19.95
toney   287  20.12
rhone   287  20.66
bayer   287  21.04
fares   287  21.83
fears   287  22.04
sabir   287  22.04
safer   287  22.25
barye   287  22.25
samey   287  22.47
piano   287  22.69
rabis   287  22.69
laker   287  23.86
ribas   287  23.86
abris   287  25.71
yerba   287  25.71
ysame   287  26.91
ukase   287  29.67
zoeal   287  32.59
spate   288  17.53
paste   288  17.94
speat   288  18.22
bleat   288  18.51
sider   288  18.97
peats   288  19.12
sired   288  19.45
septa   288  19.61
dries   288  20.12
leman   288  20.48
tepas   288  20.48
pates   288  20.66
rides   288  20.85
tapes   288  21.23
resid   288  21.43
haros   288  21.63
hoars   288  21.63
horas   288  21.63
simar   288  22.25
amirs   288  22.47
mairs   288  22.69
ramis   288  22.69
bayes   288  25.15
absey   288  26.00
pioye   288  26.00
taiko   288  26.91
tynes   288  26.91
obeah   288  29.67
abyes   288  30.85
conte   289  18.81
sheal   289  19.28
cento   289  21.23
oncet   289  21.43
folie   289  21.83
coley   289  22.04
nugae   289  22.69
lieus   289  26.00
ecads   289  26.30
ileus   289  26.60
coure   290  18.51
cruel   290  20.30
peaty   290  20.30
corey   290  20.48
lucre   290  20.48
coyer   290  21.23
aimed   290  22.04
faery   290  22.04
celts   290  22.47
ulcer   290  22.69
fayre   290  22.69
media   290  23.14
amide   290  23.14
eniac   290  23.14
fayer   290  23.14
taken   290  24.10
amens   290  24.62
arefy   290  24.88
owrie   290  25.43
rowie   290  25.71
feart   291  17.01
blare   291  17.66
